field,pi_record_no,place,same as,part of
prev_own_loc_1,K-25904,Paris,tgn/7008038,
prev_own_loc_1,K-28242,Lausanne,tgn/7007299,
prev_own_loc_1,K-28721,Upper Bavaria,tgn/7003669,
prev_own_loc_3,K-9587,Ross Hall Crookston Paisley,,tgn/7017283
prev_own_loc_3,K-10633,London,tgn/7011781,
prev_own_loc_3,K-11803,Paris,tgn/7008038,
prev_own_loc_3,K-12327,Paris,tgn/7008038,
prev_own_loc_3,K-12732,Epernay,tgn/7008342,
prev_own_loc_3,K-13707,Roubaix,tgn/7009485,
prev_own_loc_3,K-19438,London,tgn/7011781,
prev_own_loc_3,K-20166,Ayr,tgn/7009133,
prev_own_loc_3,K-20167,Ayr,tgn/7009133,
prev_own_loc_3,K-22877,Madrid,tgn/7010413,
prev_own_loc_3,K-23006,Paris,tgn/7008038,
prev_own_loc_3,K-23007,Novar,tgn/7456910,
prev_own_loc_3,K-24828,Argenteuil,tgn/7008019,
prev_own_loc_3,K-28974,Berlin,tgn/7003712,
prev_own_loc_4,K-11910,Vienna,tgn/7003321,
prev_own_loc_4,K-12327,Paris,tgn/7008038,
prev_own_loc_4,K-19438,London,tgn/7011781,
prev_own_loc_4,K-23006,Brussels,tgn/7007868,
prev_own_loc_5,K-12327,NY,tgn/7007567,
prev_own_loc_5,K-23006,Vienna,tgn/7003321,
prev_own_loc_6,K-11910,Paris,tgn/7008038,
present_loc_geog,K-546,"Melbourne, Victoria, Australia",tgn/7001933,
present_loc_geog,K-1377,"Cleveland, OH, USA",tgn/7013608,
present_loc_geog,K-2333,"Boston, MA, USA",tgn/7013445,
present_loc_geog,K-4061,"Norfolk, VA, USA",tgn/7014231,
present_loc_geog,K-4177,"New York, NY, USA",tgn/7007567,
present_loc_geog,K-4360,"Rochester, NY, USA",tgn/7014348,
present_loc_geog,K-4380,"New York, NY, USA",tgn/7007567,
present_loc_geog,K-5206,"London, England, UK",tgn/7011781,
present_loc_geog,K-6750,"New York, NY, USA",tgn/7007567,
present_loc_geog,K-6806,"New York, NY, USA",tgn/7007567,
present_loc_geog,K-6918,"New York, NY, USA",tgn/7007567,
present_loc_geog,K-6970,"New York, NY, USA",tgn/7007567,
